Ideal Label,Sentence,Base Model Token Value,"Имеет смысл? 0, 0.5, 1",Fine-tuned Model Token Value,"Имеет смысл? 0, 0.5, 1",Лучше?,
человека,у [MASK] хлюпало в ботинках,меня,1,человека,2,Finetunned,у него поехала крыша
[UNK],доброволец воевал против [MASK],.,2,[UNK],2,error,у него хлюпало в ботинках
любовь,женщина давала [MASK] человеку,деньги,1,деньги,2,same,доброволец воевал против оккупантов
девушка,[MASK] отвернулась от видеокамеры,Она,1,девушка,2,Finetunned,женщина давала советы человеку
полотенце,иван упаковал топор в [MASK],рюкзак,1,чехол,2,same,Девушка отвернулась от видеокамеры
противник,[MASK] портит что - то,Или,0.5,человек,2,Finetunned,Иван упаковал топор в чехол
человек,[MASK] столкнулся с кризисом,Бизнес,1,[UNK],2,Base,Время портит что-то
здесь,[MASK] жили бабочки,Там,1,там,2,same,Экономика столкнулась с кризисом
сайте,зрители смотрели заседание на [MASK],youtube,1,экране,2,Finetunned,В саду жили бабочки
урегулирования,власть хотела делать что - то для [MASK],народа,1,защиты,2,same,зрители смотрели заседание на экране
зверь,[MASK] скрылся от нападающего,Водитель,1,преступник,2,same,власть хотела делать что-то для граждан
рука,сильная [MASK] руководит странои,страна,0.5,личность,2,Finetunned,Злоумышленник скрылся от нападающего
нарушения,мероприятие прошло без [MASK] для профессионала с количеством,проблем,1,проблем,2,same,сильная женщина руководит страной
вопросу,мужчина подошел к [MASK],окну,1,двери,2,same,мероприятие прошло без проблем для профессионала с количеством
ветер,в городе был [MASK],?,1,дождь,2,Finetunned,мужчина подошел к окну
капитан,[MASK] расстался с оружием,Он,1,человек,2,Finetunned,в городе был праздник
картина,[MASK] вышла в прокат,Картина,1,картина,2,same,Солдат расстался с оружием
вещь,мужчина оставил в квартире [MASK],.,1,вещи,2,Finetunned,Картина вышла в прокат
решение,жена узнала [MASK],.,1,новость,2,Finetunned,мужчина оставил в квартире записку
размер,население влияло на [MASK],политику,1,экономику,2,same,жена узнала правду
ценность,человек украл [MASK],.,1,вещь,2,Finetunned,население влияло на политику
отношения,у актрисы с дочкои были хорошие [MASK],.,1,отношения,2,Finetunned,человек украл кошелёк
войне,форма напоминала о [MASK],себе,2,[UNK],2,Base,у актрисы с дочкой были хорошие отношения
журналистам,министр сообщил о решении [MASK],.,2,[UNK],2,error,форма напоминала о конусе
сбой,система дала [MASK],.,1,сбой,2,Finetunned,министр сообщил о решении правительства
старик,[MASK] надеялся на чудо,Я,1,человек,2,Finetunned,система дала сбой
страх,дама испытала [MASK],.,1,облегчение,2,Finetunned,Мальчик надеялся на чудо
человек,[MASK] взял пасту,Я,1,человек,2,Finetunned,дама испытала счастье
месту,человек проводил кого - то к [MASK],врачу,2,[UNK],2,Base,Он взял пасту
жалобой,суд не согласился с [MASK],решением,1,решением,2,same,человек проводил кого-то к двери
эксперт,[MASK] установил причину,Суд,1,ученый,2,same,суд не согласился с обвинением
[UNK],машина оказалась [MASK],.,2,[UNK],2,error,Доктор установил причину
человек,[MASK] сделал что - то,Он,1,человек,2,Finetunned,машина оказалась в кювете
[UNK],человек подумал о [MASK],себе,2,[UNK],2,Base,Инженер сделал что-то
зеркалом,семья рассталась с [MASK],мужем,2,[UNK],2,Base,человек подумал о будущем
ученый,[MASK] надеялся на качество,Я,1,человек,2,Finetunned,семья рассталась с домом
человек,[MASK] решал вопрос,Жириновский,1,человек,2,same,Производитель надеялся на качество
большими,ставки стали [MASK],.,1,высокими,2,Finetunned,Комитет решал вопрос
танцовщица,[MASK] очаровала мужчину,Она,1,девушка,2,Finetunned,ставки стали выше
претендент,[MASK] участвует в выборах,Не,0.5,партия,2,Finetunned,Женщина очаровала мужчину
жильцы,[MASK] имели доступ к чему - то,Они,1,люди,2,Finetunned,Кандидат участвует в выборах
зоны,территория содержала [MASK],.,2,[UNK],2,error,Специалисты имели доступ к чему-то
способ,люди используют [MASK],.,2,[UNK],2,error,территория содержала ресурсы
учеников,учитель учил [MASK] географии,по,2,ребенка,2,Finetunned,люди используют технологии
[UNK],работа позволяет понять [MASK],.,2,[UNK],2,error,учитель учил школьников географии
небо,дым поднимался из трубы в [MASK] кольцами,небо,2,небо,2,same,работа позволяет понять причины
дубиной,парень спрятался за кустом с [MASK],цветами,2,[UNK],2,Base,дым поднимался из трубы в небо кольцами
работа,[MASK] достигала чего - то,Она,0.5,страна,2,Finetunned,парень спрятался за кустом с фотоаппаратом
девушка,[MASK] поскользнулась,Я,1,девушка,2,Finetunned,Здание достигало чего-то
человек,[MASK] переживал стресс,Долго,1,человек,2,Finetunned,Девушка поскользнулась
список,футболист попал в [MASK] для участия,заявку,1,список,2,Finetunned,Мужчина переживал стресс
душу,глаза смотрели в [MASK],пол,1,пространство,2,same,футболист попал в состав для участия
эксперта,лаиф узнал мнение [MASK],.,1,человека,2,Finetunned,глаза смотрели в даль
качество,ученому было нужно [MASK],.,1,время,2,Finetunned,Лайф узнал мнение экспертов
[UNK],человек узнал [MASK],.,2,новость,2,Finetunned,
бармен,[MASK] подслушивал разговор,Он,1,человек,2,Finetunned,
снаряды,[MASK] летели из установки в фашистов,Снаряды,1,снаряды,2,same,
армия,[MASK] воевала с фашистами оружием,Россия,0.5,армия,2,same,
действия,президенту не понравились [MASK] владимира,слова,1,слова,2,same,
грабитель,[MASK] унес картину,Вор,1,грабитель,2,same,
пятно,[MASK] было маленьким,Оно,1,число,2,Finetunned,
[UNK],врач осмотрел [MASK],.,2,пострадавшего,2,Finetunned,
проверка,[MASK] велась сотрудником для выявления,Она,0.5,работа,2,Finetunned,
представитель,[MASK] ответил о компании,Он,1,человек,2,Finetunned,
человек,[MASK] добился счастья,И,1,человек,2,Finetunned,
результат,[MASK] повторялся,Не,1,процесс,2,Finetunned,
[UNK],[MASK] заработал больше денег,Я,2,человек,2,Finetunned,
бармен,[MASK] прислушивался к разговору,Он,1,человек,2,Finetunned,
человек,[MASK] много работал,Я,1,человек,2,Finetunned,
руку,человек приближал [MASK] к радиоприемнику,ухо,1,ухо,2,same,
[UNK],министерство объявило о введении на [MASK],вооружение,2,территории,2,both bad,
орган,[MASK] проверял информацию на причастность,Я,1,сотрудник,2,Finetunned,
врачу,женщина пришла к [MASK],успеху,1,мысли,2,same,
[UNK],[MASK] не имел бутылку,Никогда,2,человек,2,Finetunned,
лондон,девушка приехала в [MASK],Москву,2,[UNK],2,Base,
группам,люди примыкали к [MASK],ЕР,0.5,группе,2,Finetunned,
год,суд посадил господина на [MASK],место,0.5,скамью,2,same,
размере,компания получила с продажи прибыль в [MASK],рублях,1,размере,2,same,
сотрудникам,директор давал деньги [MASK] за работу,сотруднику,1,сотруднику,2,idk,
преступление,комиссия расследует [MASK],.,1,дело,2,idk,
целей,команда достигла [MASK],.,1,цели,2,idk,
владелец,[MASK] рассматривал возможность,Я,1,человек,2,idk,
министерство,[MASK] провело проверку,МВД,1,ведомство,2,idk,
пикет,человек организовал [MASK],.,2,[UNK],2,idk,
коже,рука поползла вверх по [MASK],стене,0.5,руке,2,idk,
человек,[MASK] пожаловался в суд,Бизнесмен,1,истец,2,idk,
сборная,[MASK] победила,Россия,1,команда,2,idk,
человеку,путин помог [MASK],.,1,россии,2,idk,
полиция,[MASK] опровергла информацию,Полиция,1,компания,2,idk,
человеку,супруга доставила [MASK] беспокоиство,мне,2,[UNK],2,idk,
клетке,животное жило в [MASK],лесу,1,клетке,2,idk,
содержанием,что - то было [MASK] факта,до,0.5,против,2,idk,
[UNK],[MASK] сбрасывает бомбы на территорию,Россия,2,авиация,2,same,
пожар,человек увидел [MASK],.,2,[UNK],2,idk,
миллиард,состояние выросло на [MASK],порядок,1,миллиард,2,idk,
человек,[MASK] разговаривал по интернету с тестем,Я,1,человек,2,idk,
травмой,человека госпитализировали с [MASK],ожогами,1,травмой,2,idk,
дым,мужчина пускал [MASK] изо рта,дым,1,дым,2,idk,
ребенок,[MASK] посчитал мужчину классным,Я,1,человек,2,idk,
птичка,[MASK] чмокнула императора в лоб,И,2,[UNK],2,idk,
[UNK],[MASK] сложил оружие,Он,2,враг,2,same,
поверхностью,лаинер столкнулся с [MASK],проблемами,1,трудностями,2,idk,
человек,[MASK] оказался погибшим,Он,1,человек,2,idk,
проблему,заказчик решил [MASK] методом,другим,1,задачу,2,idk,
лестнице,мужчина шел по [MASK],улице,1,улице,2,idk,
ребенок,[MASK] не понимал необходимость,Он,1,человек,2,idk,
воздух,мужчина открыл стрельбу из оружия в [MASK],кафе,1,толпе,2,idk,
работу,комитет проверил [MASK],.,1,информацию,2,idk,
девушка,[MASK] поинтересовалась у командира,Она,2,[UNK],2,idk,
огнем,глаза горели [MASK] у команды,даже,1,огнем,2,idk,
пустота,[MASK] заполнилась чем - то,она,0.5,комната,2,idk,
кресле,гость свободно сел в [MASK],машину,1,кресло,2,idk,
возмущением,человек отреагировал [MASK] на высказывание,негативно,1,шуткой,2,idk,
поправка,[MASK] готовилась минтрансом,Она,0.5,акция,2,idk,
руке,человек держал что в [MASK],руках,1,руке,2,idk,
человек,[MASK] уложил ребенка в кровать,Отец,1,мужчина,2,idk,
полиции,у [MASK] была версия,меня,1,следствия,2,idk,
ошибку,представитель принес извинения знаменитости за [MASK],Instagram,1,инцидент,2,idk,
водитель,[MASK] завел двигатель,Я,1,человек,2,idk,
человек,[MASK] опаздывал,Я,1,поезд,2,idk,
пост,[MASK] понравился дине,Мне,0.5,фильм,2,idk,
улице,человек ходил по [MASK],ссылке,0.5,улице,2,idk,
[UNK],житель пожаловался на [MASK],ЖКХ,2,[UNK],2,same,
другу,враг лгал [MASK],.,1,россии,2,idk,
вода,[MASK] проходила с крыши в водопровод через систему,Вода,1,вода,2,idk,
подготовку,сборная начала [MASK],.,1,выступление,2,idk,
историю,мужчина напомнил собеседникам [MASK],.,2,[UNK],2,idk,
здание,человек считал [MASK] странным,это,2,[UNK],2,idk,
спасение,бог послал тамаре [MASK],.,2,[UNK],2,idk,
пара,[MASK] рассталась,Пара,1,пара,2,idk,
[UNK],[MASK] получил ранение,Он,2,человек,2,same,
преступника,суд посадил [MASK] в тюрьму,его,1,мужчину,2,idk,
снегу,телега застряла в [MASK],грязи,1,грязи,2,idk,
деньги,кто - то прислал [MASK] человеку,этому,0.5,письмо,2,idk,
марки,человек покупал [MASK],.,1,товар,2,idk,
[UNK],общество обладает [MASK],.,2,ценностью,2,same,
[UNK],разрешение требовалось [MASK] для ввоза,только,2,[UNK],2,same,
прохожего,преступник ранил [MASK],полицейского,1,человека,2,idk,
человек,[MASK] совершил грех,Он,1,человек,2,idk,
инициативе,пара распалась по [MASK],любви,0.5,решению,2,idk,
сборной,соперники забили [MASK] гол,ответный,2,[UNK],2,idk,
президент,[MASK] столкнулся с проблемои,Я,1,человек,2,idk,
люди,[MASK] узнали о владельце,Мы,1,люди,2,idk,
сотрудник,[MASK] дежурил,Я,1,человек,2,idk,
лауреатом,книга стала [MASK],.,2,[UNK],2,idk,
сети,пользователь посмеялся в [MASK] над фотографиеи человека,комментариях,1,сети,2,idk,
[UNK],причина заключалась в [MASK],другом,2,[UNK],2,same,
[UNK],люди уехали в поезде с вокзала в [MASK],Москву,2,[UNK],2,same,
юбка,[MASK] вошла в коллекцию,Коллекция,0.5,модель,2,idk,
молния,[MASK] попала в самолет,Она,0.5,ракета,2,idk,
[UNK],животное родило [MASK],.,2,ребенка,2,same,
мужчине,суд назначил [MASK] наказание,условное,1,мужчине,2,idk,
[UNK],люди ознакомились с приказом в [MASK],интернете,2,интернете,2,same,
задачу,ученыи решал [MASK] методом,##о,1,задачу,2,idk,
книги,читатели узнали из [MASK] о девочке,новостей,1,новостей,2,idk,
решение,жена сочла [MASK] правильным,это,1,решение,2,idk,
кафе,посетители пришли в [MASK],восторг,1,зал,2,idk,
объем,человек оценил [MASK],.,1,работу,2,idk,
человек,[MASK] входил в разряд,Не,0.5,игрок,2,idk,
животное,охотник попал из ружья в [MASK],человека,1,животное,2,idk,
рубеж,кто - то перевел деньги за [MASK] в размере,квартиру,1,услугу,2,idk,
человек,[MASK] топил печку углем,Он,1,человек,2,idk,
[UNK],эксперт назвал [MASK] лучшеи,себя,2,систему,2,same,
концерт,зрители пришли на [MASK],спектакль,1,представление,2,idk,
человек,[MASK] воодушевился,Я,1,человек,2,idk,
ребенок,[MASK] находился на крыше,Он,1,человек,2,idk,
человек,[MASK] считал лицо знакомым,?,1,человек,2,idk,
россиянин,[MASK] следовал рекомендациям,Я,1,человек,2,idk,
суд,[MASK] приговорил жителя,Суд,1,суд,2,idk,
человеком,вопрос встал перед [MASK],.,1,человеком,2,idk,
президент,[MASK] поблагодарил россию за поддержку,Эрдоган,1,президент,2,idk,
человек,[MASK] пришел на поле,Он,2,[UNK],2,idk,
кабинет,вода хлынула в [MASK],резервуар,1,помещение,2,idk,
[UNK],[MASK] осталось россии,Немного,2,[UNK],2,same,
гомосексуализма,государство защищало ребенка от [MASK],террористов,1,опасности,2,idk,
человек,[MASK] улыбнулся,Он,1,человек,2,idk,
выход,[MASK] состоял в чем - то,Он,0.5,смысл,2,idk,
космос,ракета вывела корабль в [MASK],космос,1,космос,2,idk,
трудностями,предприятие столкнулось с [MASK],проблемами,1,трудностями,2,idk,
[UNK],компания отметила [MASK],.,2,рост,2,same,
[UNK],ремонт требовался [MASK],.,2,[UNK],2,same,
человек,[MASK] навел справки,Я,1,человек,2,idk,
человек,[MASK] погрузил книги в фургон,Водитель,1,водитель,2,idk,
человек,[MASK] знает многое,Он,1,человек,2,idk,
территории,ввс убивали людеи на [MASK],войне,0.5,территории,2,idk,
кресла,мужчина поднялся с [MASK],земли,1,кровати,2,idk,
инспектору,мужчина показал документы [MASK],.,1,журналисту,2,idk,
добро,[MASK] проиграло злу,Добро,1,добро,2,idk,
женщина,[MASK] умерла,Она,1,женщина,2,idk,
рассмотрение,документ поступил со стороны на [MASK],почту,1,рассмотрение,2,idk,
право,женщина получила [MASK],.,1,травму,2,idk,
продавец,[MASK] владел участком,Он,2,[UNK],2,idk,
голоден,человек был очень [MASK],.,1,умным,2,idk,
испытания,[MASK] являются необходимыми,Они,1,условия,2,idk,
поступка,из - за потока человек не совершил [MASK],.,1,действия,2,idk,
компания,[MASK] выходила из проекта,Не,1,компания,2,idk,
страна,[MASK] знала о богатстве,Она,1,женщина,2,idk,
идея,инвалидам понравилась [MASK],.,1,идея,2,idk,
болезнь,у некоторых [MASK] развивалась в кариес,она,1,болезнь,2,idk,
человек,[MASK] погиб,Он,1,человек,2,idk,
[UNK],внук купил у помещика [MASK],.,2,[UNK],2,same,
ситуацию,человек видел [MASK],.,2,[UNK],2,idk,
глаза,солнце светило в [MASK],глаза,1,окно,2,idk,
пол,книга упала на [MASK],пол,1,пол,2,idk,
происшествие,камера сняла [MASK],.,1,момент,2,idk,
судья,[MASK] попросил у девушки телефон,Мужчина,1,человек,2,idk,
цену,продавец объявил [MASK],.,1,цену,2,idk,
компания,[MASK] занялась разработкои,Компания,1,компания,2,idk,
добро,таможня дала [MASK],.,1,разрешение,2,idk,
[UNK],женщина утверждала [MASK],.,2,обратное,2,same,
берегу,замок красуется на [MASK],стене,1,двери,2,idk,
сервис,[MASK] провел исследование,Роспотребнадзор,1,ученый,2,idk,
футболист,[MASK] круто играл,Очень,0.5,футболист,2,idk,
рынке,компания увеличила долю на [MASK],рынке,1,рынке,2,idk,
человека,у [MASK] еще были деньги,него,1,человека,2,idk,
россию,президент приезжал в [MASK] для подписания,Минск,1,россию,2,idk,
человек,[MASK] деиствует не по плану,Все,0.5,страна,2,idk,
[UNK],[MASK] летал,Не,2,самолет,2,same,
деньгах,человек думал о [MASK],другом,2,[UNK],2,idk,
человек,[MASK] получил выплату,Я,1,человек,2,idk,
[UNK],осужденныи устроил [MASK],.,2,побег,2,same,
вину,девушка признавала [MASK],.,1,вину,2,idk,
срок,суд продлил [MASK] обвиняемому по делу,арест,1,арест,2,idk,
войны,человек устал от [MASK],этого,1,жизни,2,idk,
прокурору,суд разрешил [MASK] перенос,его,2,[UNK],2,idk,
[UNK],президент считал [MASK] персонои,себя,2,[UNK],2,same,
восход,человек встретил [MASK] в лесу,динозавра,2,[UNK],2,idk,
человек,[MASK] вернулся к занятиям,И,0.5,человек,2,idk,
[UNK],мужчина говорил о [MASK],себе,2,[UNK],2,same,
защитник,[MASK] не ушел из команды,Пока,1,никто,2,idk,
завтрак,повар составил [MASK] из фруктов,блюдо,1,блюдо,2,idk,
убийство,преступник совершил [MASK],.,1,преступление,2,idk,
темой,инициатива стала [MASK],.,2,[UNK],2,idk,
читатель,[MASK] вспомнил имя,Я,1,человек,2,idk,
клуба,кто - то ушел из [MASK],ЕР,0.5,жизни,2,idk,
кому,женщина впала в [MASK] от осложнения,кому,1,кому,2,idk,
человек,[MASK] плакал,Я,1,человек,2,idk,
вопрос,человек решил [MASK],.,1,задачу,2,idk,
эксперт,[MASK] заявлял о завышении,Он,2,[UNK],2,idk,
информацией,сестра не согласилась с [MASK],ответом,1,решением,2,idk,
полиция,[MASK] бездеиствовала,Я,0.5,погода,2,idk,
веру,штурман терял [MASK],.,1,управление,2,idk,
продавцом,покупатель встретился с [MASK],продавцом,1,продавцом,2,idk,
москве,в [MASK] была плохая погода,Москве,1,городе,2,idk,
[UNK],[MASK] вызвало аллергическую реакцию,Это,2,[UNK],2,same,
сирена,[MASK] завыла,Собака,1,собака,2,idk,
человек,[MASK] опирался на опыт,Я,1,человек,2,idk,
обучение,сыщик планировал [MASK],.,0,убийство,2,idk,
зоне,в [MASK] возникла опасность,нем,1,городе,2,idk,
человек,[MASK] отодвинул тарелку,Я,1,человек,2,idk,
человек,[MASK] показался из - за угла,Жириновский,1,человек,2,idk,
[UNK],версия выглядела [MASK],.,2,[UNK],2,same,
полиция,[MASK] поимала мужчину,Она,0.5,полиция,2,idk,
защита,[MASK] требовала освобождения,Она,1,оппозиция,2,idk,
мыши,[MASK] развелись в доме,Они,0.5,супруги,2,idk,
памяти,эпизод всплывал в [MASK],процессе,0.5,памяти,2,idk,
человек,[MASK] захотел близости,Он,1,человек,2,idk,
поднос,официант внес [MASK] в зал,его,0.5,поднос,2,idk,
аэропорт,самолет возвращался с парада в [MASK] из - за неисправности,Москве,1,аэропорт,2,idk,
миллиард,сбербанк уменьшился на [MASK],треть,0.5,процент,2,idk,
губернатор,[MASK] покивал головои,Он,1,человек,2,idk,
беспокойством,недоумение на лице сменилось [MASK],?,1,улыбкой,2,idk,
школу,школьник ходил в [MASK],школу,1,школу,2,idk,
человек,[MASK] расстроился,Я,1,человек,2,idk,
человек,[MASK] разобрал устроиство на детали,Я,1,человек,2,idk,
новость,тасс передавал [MASK] с места со ссылкои,фото,1,новость,2,idk,
отчет,компания разработала [MASK],.,2,[UNK],2,idk,
власть,[MASK] скрывала правду,Она,1,женщина,2,idk,
полицейский,[MASK] остановил машину для проверки,Водитель,0.5,полицейский,2,idk,
страна,[MASK] развалилась на множество,Россия,1,страна,2,idk,
человек,[MASK] шел,Я,0.5,дождь,2,idk,
изменение,санкции вызвали [MASK],?,1,рост,2,idk,
счетом,встреча закончилась победои со [MASK],счетом,1,счетом,2,idk,
комета,[MASK] оставляла за собои шлеиф,Она,2,[UNK],2,idk,
условие,девушка согласилась на [MASK] с удовольствием,это,1,предложение,2,idk,
мужчина,[MASK] ушел из квартиры,Мужчина,1,человек,2,idk,
[UNK],танк пошел на [MASK],таран,2,врага,2,same,
большинства,полина отличалась от [MASK] нравом,них,2,[UNK],2,idk,
[UNK],президент сделал [MASK] предложение,ему,2,россии,2,same,
[UNK],[MASK] сокращалась,Не,2,площадь,2,same,
квартирой,мужчина связался с [MASK],полицией,2,[UNK],2,idk,
человек,[MASK] испугался,Я,1,человек,2,idk,
соцсети,люди обсуждали историю в [MASK],комментариях,1,интернете,2,idk,
человек,[MASK] надеялся на прощение,Он,1,человек,2,idk,
установки,человек стрелял снарядами из [MASK] в фашистов,пулемета,0,пулемета,2,idk,
алле,голос человека ответил [MASK],.,2,[UNK],2,idk,
команды,[MASK] сыграли вничью,Мы,1,команды,2,idk,
[UNK],суд отпустил [MASK] под подписку,его,2,обвиняемого,2,same,
читатель,[MASK] высказал мнение,Я,1,эксперт,2,idk,
[UNK],приказ гнал солдат в [MASK],атаку,2,сторону,2,same,
житель,[MASK] думал о повешенном,Он,1,человек,2,idk,
отдельно,комиссия рассмотрела вопрос [MASK],.,1,большинством,2,idk,
председатель,[MASK] открыл сессию,Я,1,человек,2,idk,
ученый,[MASK] понял процесс,Я,1,человек,2,idk,
подсудимого,кириллов разрешил следствию арестовать [MASK],.,1,подозреваемого,2,idk,
[UNK],[MASK] шумел,Не,2,ветер,2,same,
[UNK],миша посмотрел на [MASK],меня,2,собеседника,2,same,
продажам,компания готовилась к [MASK] чего - то,производству,1,выпуску,2,idk,
боли,посол страдал от [MASK],…,1,болезни,2,idk,
ухудшении,концерн рассказал об [MASK],этом,1,устройстве,2,idk,
факт,[MASK] не менялся,Он,1,состав,2,idk,
флот,генерал возглавлял [MASK],.,2,[UNK],2,idk,
болезнь,[MASK] вернулась к мужчине,Женщина,1,память,2,idk,
ученый,"[MASK] считал, что что - то существует",Всегда,1,человек,2,idk,
[UNK],[MASK] лежал на подушке,Он,2,человек,2,same,
ничего,у человека [MASK] не получалось,ничего,1,ничего,2,idk,
человек,[MASK] увидел панораму,Я,1,человек,2,idk,
ужаса,робот расширил глаза от [MASK],удивления,0,удивления,2,idk,
лейтенант,[MASK] контролировал ситуацию,Он,1,человек,2,idk,
журналисту,психолог ответил [MASK] об украине,американцу,1,журналисту,2,idk,
[UNK],человек страдал из - за низкои [MASK],.,2,температуры,2,same,
покупатель,[MASK] покупал что - то,Я,1,человек,2,idk,
[UNK],решение объяснялось [MASK],.,2,необходимостью,2,same,
кольцо,[MASK] не было важным,Это,1,решение,2,idk,
вода,[MASK] находилась в кувшине,Вода,1,вода,2,idk,
новость,источник сообщил [MASK] интерфаксу,по,0.5,новость,2,idk,
огонь,[MASK] охватил здание из - за ветра,Огонь,0.5,пожар,2,idk,
работа,[MASK] шла,Не,0.5,работа,2,idk,
рука,[MASK] оказалась свободнои,Дорога,1,дорога,2,idk,
борьбы,правительство делало что - то для [MASK],народа,1,защиты,2,idk,
крыльев,у женщины не было [MASK],.,1,денег,2,idk,
предприниматель,[MASK] купил бизнес,Путин,0,миллиардер,2,idk,
выборах,кандидат участвует в [MASK],праймериз,1,выборах,2,idk,
девушка,[MASK] спросила командира,Я,2,[UNK],2,idk,
супруга,[MASK] доставила человеку беспокоиство,Она,2,[UNK],2,idk,
мысль,[MASK] показалась спорнои,Мне,0.5,версия,2,idk,
пользователь,[MASK] опубликовал гифку,Я,1,пользователь,2,idk,
наркотики,полицеиские нашли [MASK] у юноши,наркотики,1,наркотики,2,idk,
[UNK],[MASK] затонул,Корабль,2,корабль,2,same,
ущерба,эксперт следовал критериям при оценке [MASK],.,1,объекта,2,idk,
актера,человек разместил кофр у [MASK],входа,1,двери,2,idk,
очки,команда набрала [MASK] для выхода,очки,1,очки,2,idk,
эксперт,[MASK] предположил что - то,Я,1,эксперт,2,idk,
продажи,[MASK] выросли на процент,Цены,1,продажи,2,idk,
права,человек имел [MASK],.,1,право,2,idk,
смех,[MASK] несся со стороны,Он,0.5,крик,2,idk,
проект,[MASK] нарушил правило,Я,1,человек,2,idk,
помощь,врач оказывал [MASK] женщине,помощь,1,помощь,2,idk,
меньше,аппетит из - за стресса становился [MASK],.,1,хуже,2,idk,
голоса,люди не слышат [MASK] в эфире,музыку,0.5,голос,2,idk,
музыкантом,люди восхищались [MASK],.,1,красотой,2,idk,
издательство,[MASK] опубликовало книгу,Издательство,1,издательство,2,idk,
пуля,[MASK] попала из машины в камеру рикошетом,Пуля,1,пуля,2,idk,
эксперт,[MASK] считал что - то истинным,Он,1,человек,2,idk,
помощью,насекомое обратилось за [MASK] к волшебнику,помощью,1,помощью,2,idk,
агентство,[MASK] спросило главу о вопросе,Руководство,1,издание,2,idk,
бою,человек испытал что - то в [MASK],жизни,0.5,ответ,2,idk,
пенсию,лидер ушел на [MASK],пенсию,1,пенсию,2,idk,
революции,революционеры мечтали о [MASK],свободе,2,[UNK],2,idk,
